time,symbol,weight_before,weight_after,turnover
2026-08-01 22:00:00+00:00,BTC/USDT,0.0,0.5,0.5
2026-08-01 22:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-08-01 22:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-08-03 04:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-08-03 04:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-08-03 14:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-08-03 14:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-08-04 00:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-08-04 00:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-08-04 10:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-08-04 10:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-08-04 20:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-08-04 20:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-08-05 16:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-08-05 16:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-08-06 02:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-08-06 02:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-08-06 12:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-08-06 12:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-08-06 22:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-08-06 22:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-08-07 08:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-08-07 08:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-08-08 14:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-08-08 14:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-08-09 00:00:00+00:00,ETH/USDT,0.0,0.5,0.5
2026-08-09 00:00:00+00:00,XRP/USDT,0.5,0.0,0.5
2026-08-09 20:00:00+00:00,ETH/USDT,0.5,0.0,0.5
2026-08-09 20:00:00+00:00,SOL/USDT,0.0,0.5,0.5
2026-08-10 06:00:00+00:00,ADA/USDT,0.0,0.5,0.5
2026-08-10 06:00:00+00:00,SOL/USDT,0.5,0.0,0.5
2026-08-10 16:00:00+00:00,ADA/USDT,0.5,0.0,0.5
2026-08-10 16:00:00+00:00,XRP/USDT,0.0,0.5,0.5
2026-08-11 12:00:00+00:00,ETH/USDT,0.0,0.5,0.5
